HourUTC;HourDK;PriceArea;TotalLoad;OnshoreWindPower;OffshoreWindPower;ExchangeContinent;ExchangeGreatBelt;ExchangeNordicCountries
14-11-18 07.00;14-11-18 08.00;DK1;2878.10;468.65;194.99;-1107.00;-240.00;1941.00
14-11-18 08.00;14-11-18 09.00;DK1;2885.03;579.14;181.37;-1100.00;-377.00;1941.00
14-11-18 09.00;14-11-18 10.00;DK1;2947.85;628.63;212.68;-1060.00;-463.00;1941.00
14-11-18 10.00;14-11-18 11.00;DK1;2936.21;723.89;205.52;-1126.00;-414.00;1941.00
14-11-18 11.00;14-11-18 12.00;DK1;2862.97;833.32;209.76;-1239.00;-470.00;1941.00
14-11-18 12.00;14-11-18 13.00;DK1;2896.27;892.22;212.31;-1291.00;-460.00;1941.00
14-11-18 13.00;14-11-18 14.00;DK1;2868.77;856.71;243.07;-1275.00;-536.00;1941.00
14-11-18 14.00;14-11-18 15.00;DK1;2790.17;801.81;267.83;-1275.00;-587.00;1938.00
14-11-18 15.00;14-11-18 16.00;DK1;2877.41;748.13;274.89;-1189.00;-558.00;1896.00
14-11-18 16.00;14-11-18 17.00;DK1;3067.81;789.32;340.59;-1158.00;-542.00;1939.00
14-11-18 17.00;14-11-18 18.00;DK1;2928.07;911.72;393.40;-1283.00;-590.00;1937.00
14-11-18 18.00;14-11-18 19.00;DK1;2753.15;980.96;383.26;-1265.00;-583.00;1843.00
14-11-18 19.00;14-11-18 20.00;DK1;2608.67;984.17;446.76;-1342.00;-583.00;1941.00
14-11-18 20.00;14-11-18 21.00;DK1;2490.89;1023.15;415.45;-905.00;-587.00;1915.00
14-11-18 21.00;14-11-18 22.00;DK1;2310.82;1070.88;394.61;-933.00;-547.00;1715.00
14-11-18 22.00;14-11-18 23.00;DK1;2087.49;1065.21;401.85;-1026.00;-55.00;1112.00
14-11-18 23.00;15-11-18 00.00;DK1;1936.86;1028.19;377.82;-1345.00;-63.00;1147.00
15-11-18 00.00;15-11-18 01.00;DK1;1869.84;948.48;376.04;-1340.00;-157.00;1183.00
15-11-18 01.00;15-11-18 02.00;DK1;1834.13;804.01;326.87;-1304.00;-180.00;1286.00
15-11-18 02.00;15-11-18 03.00;DK1;1831.26;667.33;302.66;-1330.00;-20.00;1528.00
15-11-18 03.00;15-11-18 04.00;DK1;1886.73;604.23;267.86;-1325.00;-42.00;1599.00
15-11-18 04.00;15-11-18 05.00;DK1;2052.92;644.10;269.66;-1324.00;-135.00;1594.00
15-11-18 05.00;15-11-18 06.00;DK1;2476.92;639.67;274.34;-1309.00;-462.00;1927.00
15-11-18 06.00;15-11-18 07.00;DK1;2825.55;574.95;316.33;-1299.00;-279.00;1943.00
15-11-18 07.00;15-11-18 08.00;DK1;2877.65;491.51;286.67;-1174.00;-291.00;1943.00
15-11-18 08.00;15-11-18 09.00;DK1;2869.79;421.19;253.41;-1230.00;-257.00;1942.00
